Date,Open,High,Low,Close,Adj Close,Volume
2023-12-04,189.98,190.05,187.45,189.43,189.43,43389500
2023-12-05,190.21,194.4,190.18,193.42,193.42,66628400
2023-12-06,194.45,194.76,192.11,192.32,192.32,41089700
2023-12-07,193.63,195.0,193.59,194.27,194.27,47477700
2023-12-08,194.2,195.99,193.67,195.71,195.71,53377300
2023-12-11,193.11,193.49,191.42,193.18,193.18,60943700
2023-12-12,193.08,194.72,191.72,194.71,194.71,52696900
2023-12-13,195.09,198.0,194.85,197.96,197.96,70404200
2023-12-14,198.02,199.62,196.16,198.11,198.11,66831600
2023-12-15,197.53,198.4,197.0,197.57,197.57,128256700
2023-12-18,196.09,196.63,194.39,195.89,195.89,55751900
2023-12-19,196.16,196.95,195.89,196.94,196.94,40714100
2023-12-20,196.9,197.68,194.83,194.83,194.83,52242800
2023-12-21,196.1,197.08,193.5,194.68,194.68,46482500
2023-12-22,195.18,195.41,192.97,193.6,193.6,37122800
2023-12-26,193.61,193.89,192.83,193.05,193.05,28919300
2023-12-27,192.49,193.5,191.09,193.15,193.15,48087700
2023-12-28,194.14,194.66,193.17,193.58,193.58,34049900
2023-12-29,193.9,194.4,191.73,192.53,192.53,42628800
2024-01-02,187.15,188.44,183.89,185.64,185.64,82488700
2024-01-03,184.22,185.88,183.43,184.25,184.25,58414500
2024-01-04,182.15,183.09,180.88,181.91,181.91,71983600
2024-01-05,181.99,182.76,180.17,181.18,181.18,62303300
2024-01-08,182.09,185.6,181.5,185.56,185.56,59144500
2024-01-09,183.92,185.15,182.73,185.14,185.14,42841800
2024-01-10,184.35,186.4,183.92,186.19,186.19,46792900
2024-01-11,186.54,187.05,183.62,185.59,185.59,49128400
2024-01-12,186.06,186.74,185.19,185.92,185.92,40444700
2024-01-16,182.16,184.26,180.93,183.63,183.63,65603000
2024-01-17,181.27,182.93,180.3,182.68,182.68,47317400
2024-01-18,186.09,189.14,185.83,188.63,188.63,78005800
2024-01-19,189.33,191.95,188.82,191.56,191.56,68741000
2024-01-22,192.3,195.33,192.26,193.89,193.89,60133900
2024-01-23,195.02,195.75,193.83,195.18,195.18,42355600
2024-01-24,195.42,196.38,194.34,194.5,194.5,53631300
2024-01-25,195.22,196.27,193.11,194.17,194.17,54822100
2024-01-26,194.27,194.76,191.94,192.42,192.42,44594000
2024-01-29,192.01,192.2,189.58,191.73,191.73,47145600
2024-01-30,190.94,191.8,187.47,188.04,188.04,55859400
2024-01-31,187.04,187.1,184.35,184.4,184.4,55467800
2024-02-01,183.99,186.95,183.82,186.86,186.86,64885400
2024-02-02,179.86,187.33,179.25,185.85,185.85,102518000
2024-02-05,188.15,189.25,185.84,187.68,187.68,69668800
2024-02-06,186.86,189.31,186.77,189.3,189.3,43490800
2024-02-07,190.64,191.05,188.61,189.41,189.41,53439000
2024-02-08,189.39,189.54,187.35,188.32,188.32,40962000
2024-02-09,188.65,189.99,188.0,188.85,188.85,45155200
2024-02-12,188.42,188.67,186.79,187.15,187.15,41781900
2024-02-13,185.77,186.21,183.51,185.04,185.04,56529500
2024-02-14,185.32,185.53,182.44,184.15,184.15,54630500
2024-02-15,183.55,184.49,181.35,183.86,183.86,65434500
2024-02-16,183.42,184.85,181.67,182.31,182.31,49701400
2024-02-20,181.79,182.43,180.0,181.56,181.56,53665600
2024-02-21,181.94,182.89,180.66,182.32,182.32,41529700
2024-02-22,183.48,184.96,182.46,184.37,184.37,52292200
2024-02-23,185.01,185.04,182.23,182.52,182.52,45119700
2024-02-26,182.24,182.76,180.65,181.16,181.16,40867400
2024-02-27,181.1,183.92,179.56,182.63,182.63,54318900
2024-02-28,182.51,183.12,180.13,181.42,181.42,48953900
2024-02-29,181.27,182.57,179.53,180.75,180.75,136682600
2024-03-01,179.55,180.53,177.38,179.66,179.66,73488000
2024-03-04,176.15,176.9,173.79,175.1,175.1,81510100
2024-03-05,170.76,172.04,169.62,170.12,170.12,95132400
2024-03-06,171.06,171.24,168.68,169.12,169.12,68587700
2024-03-07,169.15,170.73,168.49,169.0,169.0,71765100
2024-03-08,169.0,173.7,168.94,170.73,170.73,76114600
2024-03-11,172.94,174.38,172.05,172.75,172.75,60139500
2024-03-12,173.15,174.03,171.01,173.23,173.23,59825400
2024-03-13,172.77,173.19,170.76,171.13,171.13,52488700
2024-03-14,172.91,174.31,172.05,173.0,173.0,72913500
2024-03-15,171.17,172.62,170.29,172.62,172.62,121664700
2024-03-18,175.57,177.71,173.52,173.72,173.72,75604200
2024-03-19,174.34,176.61,173.03,176.08,176.08,55215200
2024-03-20,175.72,178.67,175.09,178.67,178.67,53423100
2024-03-21,177.05,177.49,170.84,171.37,171.37,106181300
2024-03-22,171.76,173.05,170.06,172.28,172.28,71106600
2024-03-25,170.57,171.94,169.45,170.85,170.85,54288300
2024-03-26,170.0,171.42,169.58,169.71,169.71,57388400
2024-03-27,170.41,173.6,170.11,173.31,173.31,60273300
2024-03-28,171.75,172.23,170.51,171.48,171.48,65672700
2024-04-01,171.19,171.25,169.48,170.03,170.03,46240500
2024-04-02,169.08,169.34,168.23,168.84,168.84,49329500
2024-04-03,168.79,170.68,168.58,169.65,169.65,47691700
2024-04-04,170.29,171.92,168.82,168.82,168.82,53704400
2024-04-05,169.59,170.39,168.95,169.58,169.58,42055200
2024-04-08,169.03,169.2,168.24,168.45,168.45,37425500
2024-04-09,168.7,170.08,168.35,169.67,169.67,42451200
2024-04-10,168.8,169.09,167.11,167.78,167.78,49709300
2024-04-11,168.34,175.46,168.16,175.04,175.04,91070300
2024-04-12,174.26,178.36,174.21,176.55,176.55,101593300
2024-04-15,175.36,176.63,172.5,172.69,172.69,73531800
2024-04-16,171.75,173.76,168.27,169.38,169.38,73711200
2024-04-17,169.61,170.65,168.0,168.0,168.0,50901200
2024-04-18,168.03,168.64,166.55,167.04,167.04,43122900
2024-04-19,166.21,166.4,164.08,165.0,165.0,67772100
2024-04-22,165.52,167.26,164.77,165.84,165.84,48116400
2024-04-23,165.35,167.05,164.92,166.9,166.9,49537800
2024-04-24,166.54,169.3,166.21,169.02,169.02,48251800
2024-04-25,169.53,170.61,168.15,169.89,169.89,50558300
2024-04-26,169.88,171.34,169.18,169.3,169.3,44838400
2024-04-29,173.37,176.03,173.1,173.5,173.5,68169400
2024-04-30,173.33,174.99,170.0,170.33,170.33,65934800
2024-05-01,169.58,172.71,169.11,169.3,169.3,50383100
2024-05-02,172.51,173.42,170.89,173.03,173.03,94214900
2024-05-03,186.65,187.0,182.66,183.38,183.38,163224100
2024-05-06,182.35,184.2,180.42,181.71,181.71,78569700
2024-05-07,183.45,184.9,181.32,182.4,182.4,77305800
2024-05-08,182.85,183.07,181.45,182.74,182.74,45057100
2024-05-09,182.56,184.66,182.11,184.57,184.57,48983000
2024-05-10,184.9,185.09,182.13,183.05,183.05,50759500
2024-05-13,185.44,187.1,184.62,186.28,186.28,72044800
2024-05-14,187.51,188.3,186.29,187.43,187.43,52393600
2024-05-15,187.91,190.65,187.37,189.72,189.72,70400000
2024-05-16,190.47,191.1,189.66,189.84,189.84,52845200
2024-05-17,189.51,190.81,189.18,189.87,189.87,41282900
2024-05-20,189.33,191.92,189.01,191.04,191.04,44361300
2024-05-21,191.09,192.73,190.92,192.35,192.35,42309400
2024-05-22,192.27,192.82,190.27,190.9,190.9,34648500
2024-05-23,190.98,191.0,186.63,186.88,186.88,51005900
2024-05-24,188.82,190.58,188.04,189.98,189.98,36294600
2024-05-28,191.51,193.0,189.1,189.99,189.99,52280100
2024-05-29,189.61,192.25,189.51,190.29,190.29,53068000
2024-05-30,190.76,192.18,190.63,191.29,191.29,49947900
2024-05-31,191.44,192.57,189.91,192.25,192.25,75158300
2024-06-03,192.9,194.99,192.52,194.03,194.03,50080500
2024-06-04,194.64,195.32,193.03,194.35,194.35,47471400
2024-06-05,195.4,196.9,194.87,195.87,195.87,54156800
2024-06-06,195.69,196.5,194.17,194.48,194.48,41181800
2024-06-07,194.65,196.94,194.14,196.89,196.89,53103900
2024-06-10,196.9,197.3,192.15,193.12,193.12,97262100
2024-06-11,193.65,207.16,193.63,207.15,207.15,172373300
2024-06-12,207.37,220.2,206.9,213.07,213.07,198134300
2024-06-13,214.74,216.75,211.6,214.24,214.24,97862700
2024-06-14,213.85,215.17,211.3,212.49,212.49,70122700
