datetime,high,low,open,close,volume
2023-12-04,239.37,233.29,235.75,235.58,104,099,800
2023-12-05,246.66,233.7,233.87,238.72,137,971,100
2023-12-06,246.57,239.17,242.92,239.37,126,436,200
2023-12-07,244.08,236.98,241.55,242.64,107,142,300
2023-12-08,245.27,239.27,240.27,243.84,102,980,100
2023-12-11,243.44,237.45,242.74,239.74,97,913,900
2023-12-12,238.99,233.87,238.55,237.01,95,328,300
2023-12-13,240.3,228.2,234.19,239.29,146,286,300
2023-12-14,253.88,240.79,241.22,251.05,160,829,200
2023-12-15,254.13,248.3,251.21,253.5,135,720,800
2023-12-18,258.74,251.36,253.78,252.08,116,416,500
2023-12-19,258.34,253.01,253.48,257.22,106,737,400
2023-12-20,259.84,247.0,256.41,247.14,125,097,000
2023-12-21,254.8,248.55,251.9,254.5,109,594,200
2023-12-22,258.22,251.37,256.76,252.54,93,249,800
2023-12-26,257.97,252.91,254.49,256.61,86,892,400
2023-12-27,263.34,257.52,258.35,261.44,106,494,400
2023-12-28,265.13,252.71,263.66,253.18,113,619,900
2023-12-29,255.19,247.43,255.1,248.48,100,615,300
2024-01-02,251.25,244.41,250.08,248.42,104,654,200
2024-01-03,245.68,236.32,244.98,238.45,121,082,600
2024-01-04,242.7,237.73,239.25,237.93,102,629,300
2024-01-05,240.12,234.9,236.86,237.49,92,379,400
2024-01-08,241.25,235.3,236.14,240.45,85,166,600
2024-01-09,238.96,232.04,238.11,234.96,96,705,700
2024-01-10,235.5,231.29,235.1,233.94,91,628,500
2024-01-11,230.93,225.37,230.57,227.22,105,873,600
2024-01-12,225.34,217.15,220.08,218.89,122,889,000
2024-01-16,223.49,212.18,215.1,219.91,115,355,000
2024-01-17,215.67,212.01,214.86,215.55,103,164,400
2024-01-18,217.45,208.74,216.88,211.88,108,595,400
2024-01-19,213.19,207.56,209.99,212.19,102,095,800
2024-01-22,217.8,206.27,212.26,208.8,117,952,500
2024-01-23,215.65,207.75,211.3,209.14,106,605,900
2024-01-24,212.73,206.77,211.88,207.83,123,369,900
2024-01-25,193.0,180.06,189.7,182.63,198,076,800
2024-01-26,186.78,182.1,185.5,183.25,107,343,200
2024-01-29,191.48,183.67,185.63,190.93,125,013,100
2024-01-30,196.36,190.61,195.33,191.59,109,982,300
2024-01-31,193.97,185.85,187.0,187.29,103,221,400
2024-02-01,189.88,184.28,188.5,188.86,91,843,300
2024-02-02,188.69,182.0,185.04,187.91,110,505,100
2024-02-05,184.68,175.01,184.26,181.06,134,294,400
2024-02-06,186.49,177.11,177.21,185.1,122,676,000
